XCP=,0.493302,,,,,,,,,
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp,,
Main WingCp Coefficients,,,,,,,,,,
Strip 1,,,,,,,,,,
217,7.34E-01,-3.96E+00,2.76E-02,0.072,0,0.997,4.97E-04,0.2487,,
218,7.06E-01,-3.96E+00,2.96E-02,0.066,0,0.998,5.12E-04,0.2366,,
219,6.77E-01,-3.96E+00,3.15E-02,0.06,0,0.998,5.24E-04,0.2247,,
220,6.47E-01,-3.96E+00,3.32E-02,0.053,0,0.999,5.35E-04,0.2136,,
221,6.17E-01,-3.96E+00,3.48E-02,0.046,0,0.999,5.43E-04,0.2041,,
222,5.86E-01,-3.96E+00,3.61E-02,0.04,0,0.999,5.50E-04,0.1966,,
223,5.55E-01,-3.96E+00,3.73E-02,0.033,0,0.999,5.54E-04,0.1916,,
224,5.24E-01,-3.96E+00,3.83E-02,0.026,0,1,5.56E-04,0.19,,
225,4.92E-01,-3.96E+00,3.90E-02,0.019,0,1,5.56E-04,0.1908,-3.96,0.1908
226,4.61E-01,-3.96E+00,3.96E-02,0.012,0,1,5.54E-04,0.1961,,
227,4.30E-01,-3.96E+00,3.99E-02,0.005,0,1,5.49E-04,0.2123,,
228,3.99E-01,-3.96E+00,4.00E-02,-0.005,0,1,5.43E-04,0.2358,,
229,3.68E-01,-3.96E+00,3.97E-02,-0.02,0,1,5.34E-04,0.2417,,
230,3.38E-01,-3.96E+00,3.90E-02,-0.035,0,0.999,5.24E-04,0.2403,,
231,3.09E-01,-3.96E+00,3.79E-02,-0.049,0,0.999,5.11E-04,0.2354,,
232,2.80E-01,-3.96E+00,3.64E-02,-0.063,0,0.998,4.97E-04,0.225,,
233,2.52E-01,-3.96E+00,3.45E-02,-0.077,0,0.997,4.80E-04,0.2098,,
234,2.26E-01,-3.96E+00,3.24E-02,-0.09,0,0.996,4.62E-04,0.1928,,
235,2.00E-01,-3.96E+00,3.00E-02,-0.103,0,0.995,4.42E-04,0.1707,,
236,1.75E-01,-3.96E+00,2.74E-02,-0.115,0,0.993,4.20E-04,0.1447,,
237,1.52E-01,-3.96E+00,2.46E-02,-0.125,0,0.992,3.96E-04,0.1169,,
